epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,2756.07,0.5356,0.9858,0.38055,1.02741,0.89079,0.89486,0.94454,0.8302,0.89079,0.89486,0.94455,0.81341,0.5281,0.84784,0.42896,1.05908,0.000742815,0.000742815,0.000742815
30,2852.26,0.52315,0.97361,0.37096,1.01879,0.90409,0.89986,0.94534,0.84151,0.90324,0.89896,0.94514,0.82202,0.53552,0.81737,0.40947,1.06979,0.000709809,0.000709809,0.000709809
31,2950.36,0.51786,0.96422,0.36575,1.01712,0.89578,0.90902,0.96454,0.84689,0.89498,0.90811,0.96432,0.82728,0.52443,0.86302,0.40398,1.05889,0.000676802,0.000676802,0.000676802
32,3048.77,0.51194,0.94472,0.35918,1.01386,0.92046,0.94058,0.96308,0.85733,0.91963,0.93968,0.96286,0.83627,0.50588,0.83121,0.38236,1.04079,0.000643795,0.000643795,0.000643795
33,3147.27,0.50465,0.93392,0.35144,1.00722,0.88428,0.93546,0.96624,0.86824,0.88348,0.93456,0.96612,0.84064,0.49919,0.827,0.39152,1.03156,0.000610789,0.000610789,0.000610789
34,3243.57,0.50283,0.93052,0.35275,1.00768,0.90658,0.92086,0.97148,0.8604,0.90576,0.91996,0.97134,0.84419,0.50864,0.83598,0.37816,1.04397,0.000577782,0.000577782,0.000577782
35,3340.65,0.49777,0.92409,0.34247,1.00546,0.92815,0.94302,0.96706,0.86742,0.92729,0.94212,0.96644,0.8404,0.49677,0.83819,0.35542,1.03793,0.000544776,0.000544776,0.000544776
36,3437.01,0.49233,0.9105,0.34102,1.00161,0.92168,0.94028,0.9742,0.86538,0.92085,0.93938,0.97411,0.84018,0.49622,0.86727,0.36536,1.02391,0.000511769,0.000511769,0.000511769
37,3532.71,0.48731,0.90688,0.34113,0.99905,0.92428,0.9373,0.9694,0.87295,0.92344,0.9364,0.96842,0.84591,0.48723,0.82898,0.35766,1.02342,0.000478762,0.000478762,0.000478762
38,3628.37,0.48629,0.90207,0.33154,0.99529,0.8489,0.90554,0.93209,0.83749,0.84814,0.90464,0.93179,0.81095,0.48493,0.84213,0.43669,1.01787,0.000445756,0.000445756,0.000445756
39,3725.27,0.4836,0.90516,0.32811,0.99736,0.89433,0.92179,0.9551,0.85831,0.89433,0.92179,0.95448,0.83194,0.48536,0.79919,0.37296,1.02162,0.000412749,0.000412749,0.000412749
40,3822.68,0.4755,0.88722,0.3266,0.98964,0.88486,0.91464,0.95424,0.8576,0.88405,0.91373,0.95402,0.82465,0.47983,0.81862,0.38763,1.0175,0.000379743,0.000379743,0.000379743
41,3919.93,0.36328,0.64505,0.2569,1.00408,0.90367,0.94113,0.96394,0.87602,0.90284,0.94023,0.9639,0.84415,0.47649,0.82046,0.36164,1.0267,0.000346736,0.000346736,0.000346736
42,4015.93,0.34915,0.6138,0.24177,0.98524,0.87303,0.94272,0.95047,0.86431,0.87221,0.94182,0.95037,0.83123,0.47407,0.84458,0.37474,1.02281,0.000313729,0.000313729,0.000313729
43,4112.25,0.33538,0.60278,0.22948,0.97797,0.88149,0.9393,0.95373,0.86948,0.88067,0.9384,0.95364,0.83692,0.47089,0.83887,0.36899,1.00645,0.000280723,0.000280723,0.000280723
44,4208.78,0.3244,0.59781,0.22271,0.96761,0.92538,0.93327,0.96773,0.88369,0.92452,0.93237,0.96746,0.85233,0.46696,0.81994,0.34336,1.01854,0.000247716,0.000247716,0.000247716
45,4305.58,0.31152,0.58736,0.2134,0.96095,0.93098,0.94662,0.9736,0.8935,0.93015,0.94572,0.97333,0.85743,0.46055,0.8141,0.33986,1.00273,0.00021471,0.00021471,0.00021471
46,4401.93,0.30592,0.57777,0.20764,0.95422,0.90307,0.92031,0.96001,0.88333,0.90225,0.91941,0.95998,0.84906,0.43941,0.81567,0.36781,0.98676,0.000181703,0.000181703,0.000181703
47,4498.19,0.29847,0.5718,0.20043,0.94994,0.89414,0.91655,0.95123,0.87602,0.89335,0.91565,0.95093,0.83824,0.44274,0.8214,0.39837,0.98951,0.000148696,0.000148696,0.000148696
48,4594.67,0.29428,0.56668,0.19627,0.94809,0.91868,0.91231,0.95532,0.88132,0.91784,0.91141,0.95506,0.84355,0.44389,0.83225,0.35141,0.99103,0.00011569,0.00011569,0.00011569
49,4690.83,0.28745,0.56507,0.19219,0.94298,0.90612,0.93264,0.95962,0.88372,0.90527,0.93174,0.95924,0.84469,0.45134,0.83844,0.34806,0.99879,8.26832e-05,8.26832e-05,8.26832e-05
50,4785.91,0.28116,0.55801,0.19068,0.93779,0.89215,0.93578,0.9599,0.88301,0.89135,0.93488,0.95967,0.84518,0.44424,0.85043,0.36343,0.99658,4.96766e-05,4.96766e-05,4.96766e-05
